time[ms],current [pA]
-1.200000000000000000e+02,9.377064704895019531e-01
-1.199035415649414062e+02,9.372729659080505371e-01
-1.198072128295898438e+02,9.368384480476379395e-01
-1.197110137939453125e+02,9.364029169082641602e-01
-1.196149368286132812e+02,9.359662532806396484e-01
-1.195189895629882812e+02,9.355285763740539551e-01
-1.194231719970703125e+02,9.350897669792175293e-01
-1.193274688720703125e+02,9.346497654914855957e-01
-1.192318954467773438e+02,9.342086315155029297e-01
-1.191364440917968750e+02,9.337662458419799805e-01
-1.190411071777343750e+02,9.333226084709167480e-01
-1.189458999633789062e+02,9.328777194023132324e-01
-1.188508071899414062e+02,9.324315190315246582e-01
-1.187558364868164062e+02,9.319840073585510254e-01
-1.186609802246093750e+02,9.315351247787475586e-01
-1.185662460327148438e+02,9.310848712921142578e-01
-1.184716186523437500e+02,9.306331872940063477e-01
-1.183771133422851562e+02,9.301800727844238281e-01
-1.182827224731445312e+02,9.297254085540771484e-01
-1.181884460449218750e+02,9.292692542076110840e-01
-1.180942840576171875e+02,9.288116097450256348e-01
-1.180002288818359375e+02,9.283523559570312500e-01
-1.179062881469726562e+02,9.278914928436279297e-01
-1.178124542236328125e+02,9.274290204048156738e-01
-1.177187347412109375e+02,9.269648790359497070e-01
-1.176251144409179688e+02,9.264990091323852539e-01
-1.175316085815429688e+02,9.260314702987670898e-01
-1.174382095336914062e+02,9.255621433258056641e-01
-1.173449096679687500e+02,9.250910282135009766e-01
-1.172517242431640625e+02,9.246181249618530273e-01
-1.171586303710937500e+02,9.241433739662170410e-01
-1.170656509399414062e+02,9.236667752265930176e-01
-1.169727706909179688e+02,9.231882691383361816e-01
-1.168799896240234375e+02,9.227077960968017578e-01
-1.167873077392578125e+02,9.222253561019897461e-01
-1.166947250366210938e+02,9.217409491539001465e-01
-1.166022415161132812e+02,9.212545156478881836e-01
-1.165098571777343750e+02,9.207660555839538574e-01
-1.164175720214843750e+02,9.202754497528076172e-01
-1.163253784179687500e+02,9.197827577590942383e-01
-1.162332763671875000e+02,9.192879199981689453e-01
-1.161412734985351562e+02,9.187909364700317383e-01
-1.160493621826171875e+02,9.182917475700378418e-01
-1.159575500488281250e+02,9.177902936935424805e-01
-1.158658218383789062e+02,9.172866344451904297e-01
-1.157741851806640625e+02,9.167806506156921387e-01
-1.156826400756835938e+02,9.162723422050476074e-01
-1.155911788940429688e+02,9.157616496086120605e-01
-1.154998092651367188e+02,9.152485728263854980e-01
-1.154085311889648438e+02,9.147331118583679199e-01
-1.153173294067382812e+02,9.142152070999145508e-01
-1.152262191772460938e+02,9.136948585510253906e-01
-1.151351928710937500e+02,9.131719470024108887e-01
-1.150442504882812500e+02,9.126465320587158203e-01
-1.149533920288085938e+02,9.121185541152954102e-01
-1.148626098632812500e+02,9.115880131721496582e-01
-1.147719116210937500e+02,9.110547900199890137e-01
-1.146812896728515625e+02,9.105189442634582520e-01
-1.145907516479492188e+02,9.099804162979125977e-01
-1.145002899169921875e+02,9.094392061233520508e-01
-1.144099121093750000e+02,9.088951945304870605e-01
-1.143196029663085938e+02,9.083484411239624023e-01
-1.142293701171875000e+02,9.077988862991333008e-01
-1.141392135620117188e+02,9.072464704513549805e-01
-1.140491256713867188e+02,9.066911935806274414e-01
-1.139591140747070312e+02,9.061330556869506836e-01
-1.138691787719726562e+02,9.055719971656799316e-01
-1.137793045043945312e+02,9.050079584121704102e-01
-1.136895065307617188e+02,9.044409394264221191e-01
-1.135997772216796875e+02,9.038708806037902832e-01
-1.135101165771484375e+02,9.032978415489196777e-01
-1.134205245971679688e+02,9.027217030525207520e-01
-1.133310012817382812e+02,9.021424055099487305e-01
-1.132415390014648438e+02,9.015600681304931641e-01
-1.131521453857421875e+02,9.009745121002197266e-01
-1.130628128051757812e+02,9.003857374191284180e-01
-1.129735412597656250e+02,8.997938036918640137e-01
-1.128843383789062500e+02,8.991985321044921875e-01
-1.127951965332031250e+02,8.986000418663024902e-01
-1.127061080932617188e+02,8.979982137680053711e-01
-1.126170806884765625e+02,8.973930478096008301e-01
-1.125281143188476562e+02,8.967845439910888672e-01
-1.124392089843750000e+02,8.961725831031799316e-01
-1.123503570556640625e+02,8.955572247505187988e-01
-1.122615585327148438e+02,8.949383497238159180e-01
-1.121728210449218750e+02,8.943160176277160645e-01
-1.120841369628906250e+02,8.936901688575744629e-01
-1.119954986572265625e+02,8.930607438087463379e-01
-1.119069213867187500e+02,8.924277424812316895e-01
-1.118183898925781250e+02,8.917911052703857422e-01
-1.117299118041992188e+02,8.911508321762084961e-01
-1.116414794921875000e+02,8.905069231986999512e-01
-1.115531005859375000e+02,8.898592591285705566e-01
-1.114479217529296875e+02,8.890839219093322754e-01
-1.113366851806640625e+02,8.882602453231811523e-01
-1.112259368896484375e+02,8.874364495277404785e-01
-1.111156692504882812e+02,8.866125941276550293e-01
-1.110058898925781250e+02,8.857885599136352539e-01
-1.108965911865234375e+02,8.849644660949707031e-01
-1.107877655029296875e+02,8.841401934623718262e-01
-1.106794204711914062e+02,8.833157420158386230e-01
-1.105715484619140625e+02,8.824911117553710938e-01
-1.104641418457031250e+02,8.816663622856140137e-01
-1.103571929931640625e+02,8.808413743972778320e-01
-1.102507171630859375e+02,8.800162076950073242e-01
-1.101446990966796875e+02,8.791908025741577148e-01
-1.100391387939453125e+02,8.783651590347290039e-01
-1.099340362548828125e+02,8.775392770767211914e-01
-1.098293762207031250e+02,8.767132163047790527e-01
-1.097251739501953125e+02,8.758868575096130371e-01
-1.096214141845703125e+02,8.750602006912231445e-01
-1.095180892944335938e+02,8.742332458496093750e-01
-1.094152145385742188e+02,8.734060525894165039e-01
-1.093127746582031250e+02,8.725785017013549805e-01
-1.092107696533203125e+02,8.717506527900695801e-01
-1.091091918945312500e+02,8.709225058555603027e-01
-1.090080413818359375e+02,8.700939416885375977e-01
-1.089073257446289062e+02,8.692650794982910156e-01
-1.088070220947265625e+02,8.684358596801757812e-01
-1.087071456909179688e+02,8.676062226295471191e-01
-1.086076812744140625e+02,8.667762279510498047e-01
-1.085086364746093750e+02,8.659458160400390625e-01
-1.084100036621093750e+02,8.651149868965148926e-01
-1.083117752075195312e+02,8.642838001251220703e-01
-1.082139511108398438e+02,8.634520769119262695e-01
-1.081165313720703125e+02,8.626199960708618164e-01
-1.080195083618164062e+02,8.617873787879943848e-01
-1.079228897094726562e+02,8.609543442726135254e-01
-1.078266601562500000e+02,8.601208329200744629e-01
-1.077308197021484375e+02,8.592867851257324219e-01
-1.076353683471679688e+02,8.584522604942321777e-01
-1.075403060913085938e+02,8.576171994209289551e-01
-1.074456253051757812e+02,8.567816615104675293e-01
-1.073513183593750000e+02,8.559455275535583496e-01
-1.072573928833007812e+02,8.551088571548461914e-01
-1.071638412475585938e+02,8.542716503143310547e-01
-1.070706634521484375e+02,8.534338474273681641e-01
-1.069778442382812500e+02,8.525954484939575195e-01
-1.068853988647460938e+02,8.517564535140991211e-01
-1.067933120727539062e+02,8.509168624877929688e-01
-1.067015914916992188e+02,8.500766754150390625e-01
-1.066102218627929688e+02,8.492358326911926270e-01
-1.065192031860351562e+02,8.483943343162536621e-01
-1.064285354614257812e+02,8.475521802902221680e-01
-1.063382186889648438e+02,8.467093706130981445e-01
-1.062482452392578125e+02,8.458659052848815918e-01
-1.061586227416992188e+02,8.450217247009277344e-01
-1.060693283081054688e+02,8.441768288612365723e-01
-1.059803771972656250e+02,8.433312177658081055e-01
-1.058917541503906250e+02,8.424848914146423340e-01
-1.058034667968750000e+02,8.416378498077392578e-01
-1.057154998779296875e+02,8.407900333404541016e-01
-1.056278686523437500e+02,8.399415016174316406e-01
-1.055405502319335938e+02,8.390921354293823242e-01
-1.054535522460937500e+02,8.382420539855957031e-01
-1.053668746948242188e+02,8.373911380767822266e-01
-1.052805099487304688e+02,8.365393877029418945e-01
-1.051944580078125000e+02,8.356868624687194824e-01
-1.051087036132812500e+02,8.348335027694702148e-01
-1.050232620239257812e+02,8.339792490005493164e-01
-1.049381256103515625e+02,8.331242203712463379e-01
-1.048532791137695312e+02,8.322682976722717285e-01
-1.047687377929687500e+02,8.314114809036254883e-01
-1.046844863891601562e+02,8.305537700653076172e-01
-1.046005249023437500e+02,8.296952247619628906e-01
-1.045168457031250000e+02,8.288357257843017578e-01
-1.044334564208984375e+02,8.279752731323242188e-01
-1.043503494262695312e+02,8.271139264106750488e-01
-1.042675170898437500e+02,8.262516260147094727e-01
-1.041849670410156250e+02,8.253883719444274902e-01
-1.041026916503906250e+02,8.245241045951843262e-01
-1.040206756591796875e+02,8.236589431762695312e-01
-1.039389343261718750e+02,8.227927088737487793e-01
-1.038574600219726562e+02,8.219255208969116211e-01
-1.037762451171875000e+02,8.210573196411132812e-01
-1.036952819824218750e+02,8.201880455017089844e-01
-1.036145858764648438e+02,8.193177580833435059e-01
-1.035341339111328125e+02,8.184464573860168457e-01
-1.034539337158203125e+02,8.175740242004394531e-01
-1.033739852905273438e+02,8.167005777359008789e-01
-1.032942810058593750e+02,8.158259987831115723e-01
-1.032148132324218750e+02,8.149503469467163086e-01
-1.031355895996093750e+02,8.140736222267150879e-01
-1.030566024780273438e+02,8.131957054138183594e-01
-1.029778442382812500e+02,8.123167157173156738e-01
-1.028993148803710938e+02,8.114365339279174805e-01
-1.028210144042968750e+02,8.105552792549133301e-01
-1.027429351806640625e+02,8.096727728843688965e-01
-1.026650848388671875e+02,8.087891340255737305e-01
-1.025874481201171875e+02,8.079043030738830566e-01
-1.025100250244140625e+02,8.070182800292968750e-01
-1.024328155517578125e+02,8.061310052871704102e-01
-1.023558197021484375e+02,8.052425384521484375e-01
-1.022790298461914062e+02,8.043528199195861816e-01
-1.022024459838867188e+02,8.034618496894836426e-01
-1.021260604858398438e+02,8.025696277618408203e-01
-1.020498733520507812e+02,8.016761541366577148e-01
-1.019738769531250000e+02,8.007813692092895508e-01
-1.018980865478515625e+02,7.998853325843811035e-01
-1.018224716186523438e+02,7.989879250526428223e-01
-1.017470550537109375e+02,7.980892658233642578e-01
-1.016718139648437500e+02,7.971892356872558594e-01
-1.015967559814453125e+02,7.962878942489624023e-01
-1.015218811035156250e+02,7.953851819038391113e-01
-1.014471740722656250e+02,7.944810986518859863e-01
-1.013726425170898438e+02,7.935756444931030273e-01
-1.012982788085937500e+02,7.926688194274902344e-01
-1.012240905761718750e+02,7.917605638504028320e-01
-1.011500549316406250e+02,7.908509373664855957e-01
-1.010761871337890625e+02,7.899398803710937500e-01
-1.010024795532226562e+02,7.890273928642272949e-01
-1.009289245605468750e+02,7.881134748458862305e-01
-1.008555145263671875e+02,7.871980667114257812e-01
-1.007822647094726562e+02,7.862811684608459473e-01
-1.007091522216796875e+02,7.853628396987915039e-01
-1.006361923217773438e+02,7.844430208206176758e-01
-1.005633697509765625e+02,7.835217118263244629e-01
-1.004906845092773438e+02,7.825988531112670898e-01
-1.004181365966796875e+02,7.816744446754455566e-01
-1.003457183837890625e+02,7.807485461235046387e-01
-1.002734222412109375e+02,7.798210978507995605e-01
-1.002012634277343750e+02,7.788920402526855469e-01
-1.001292266845703125e+02,7.779614925384521484e-01
-1.000573120117187500e+02,7.770292758941650391e-01
-9.998551177978515625e+01,7.760955095291137695e-01
-9.991382598876953125e+01,7.751601338386535645e-01
-9.984225463867187500e+01,7.742231488227844238e-01
-9.977079010009765625e+01,7.732844948768615723e-01
-9.969943237304687500e+01,7.723442316055297852e-01
-9.962817382812500000e+01,7.714022994041442871e-01
-9.955702209472656250e+01,7.704586982727050781e-01
-9.948596954345703125e+01,7.695134282112121582e-01
-9.941500854492187500e+01,7.685664892196655273e-01
-9.934413909912109375e+01,7.676178216934204102e-01
-9.927336120605468750e+01,7.666674852371215820e-01
-9.920266723632812500e+01,7.657153606414794922e-01
-9.913205718994140625e+01,7.647615671157836914e-01
-9.906153106689453125e+01,7.638059854507446289e-01
-9.899108123779296875e+01,7.628486752510070801e-01
-9.892070007324218750e+01,7.618895769119262695e-01
-9.885039520263671875e+01,7.609286904335021973e-01
-9.878015899658203125e+01,7.599660158157348633e-01
-9.870999145507812500e+01,7.590015530586242676e-01
-9.863988494873046875e+01,7.580352425575256348e-01
-9.856983947753906250e+01,7.570671439170837402e-01
-9.849984741210937500e+01,7.560971975326538086e-01
-9.842991638183593750e+01,7.551253437995910645e-01
-9.836003112792968750e+01,7.541517019271850586e-01
-9.829019927978515625e+01,7.531761527061462402e-01
-9.822041320800781250e+01,7.521986961364746094e-01
-9.815066528320312500e+01,7.512193918228149414e-01
-9.808096313476562500e+01,7.502381801605224609e-01
-9.801129150390625000e+01,7.492550015449523926e-01
-9.794165802001953125e+01,7.482699155807495117e-01
-9.787205505371093750e+01,7.472828626632690430e-01
-9.780249023437500000e+01,7.462939023971557617e-01
-9.773294067382812500e+01,7.453029155731201172e-01
-9.766341400146484375e+01,7.443100214004516602e-01
-9.759391021728515625e+01,7.433151006698608398e-01
-9.752442932128906250e+01,7.423181533813476562e-01
-9.745495605468750000e+01,7.413192391395568848e-01
-9.738549041748046875e+01,7.403182387351989746e-01
-9.731604003906250000e+01,7.393152713775634766e-01
-9.724659729003906250e+01,7.383102178573608398e-01
-9.717715454101562500e+01,7.373031377792358398e-01
-9.710770416259765625e+01,7.362939119338989258e-01
-9.703826141357421875e+01,7.352826595306396484e-01
-9.696881103515625000e+01,7.342693209648132324e-01
-9.689934539794921875e+01,7.332538962364196777e-01
-9.682987213134765625e+01,7.322362661361694336e-01
-9.676039123535156250e+01,7.312166094779968262e-01
-9.669087982177734375e+01,7.301947474479675293e-01
-9.662135314941406250e+01,7.291707396507263184e-01
-9.655181121826171875e+01,7.281445860862731934e-01
-9.648223876953125000e+01,7.271162271499633789e-01
-9.641263580322265625e+01,7.260857224464416504e-01
-9.634300231933593750e+01,7.250530123710632324e-01
-9.627333068847656250e+01,7.240180373191833496e-01
-9.620362854003906250e+01,7.229809165000915527e-01
-9.613388061523437500e+01,7.219415307044982910e-01
-9.606408691406250000e+01,7.208998799324035645e-01
-9.599424743652343750e+01,7.198559641838073730e-01
-9.592436218261718750e+01,7.188097834587097168e-01
-9.585443115234375000e+01,7.177613973617553711e-01
-9.578443908691406250e+01,7.167106270790100098e-01
-9.571438598632812500e+01,7.156575918197631836e-01
-9.564427947998046875e+01,7.146022319793701172e-01
-9.557411193847656250e+01,7.135445475578308105e-01
-9.550386810302734375e+01,7.124845385551452637e-01
-9.543356323242187500e+01,7.114222049713134766e-01
-9.536318206787109375e+01,7.103574872016906738e-01
-9.529272460937500000e+01,7.092903852462768555e-01
-9.522219085693359375e+01,7.082208991050720215e-01
-9.515158081054687500e+01,7.071490287780761719e-01
-9.508088684082031250e+01,7.060747146606445312e-01
-9.501010131835937500e+01,7.049980163574218750e-01
-9.493922424316406250e+01,7.039188742637634277e-01
-9.486826324462890625e+01,7.028372883796691895e-01
-9.479720306396484375e+01,7.017532587051391602e-01
-9.472604370117187500e+01,7.006667256355285645e-01
-9.465478515625000000e+01,6.995777487754821777e-01
-9.458342742919921875e+01,6.984863281250000000e-01
-9.451196289062500000e+01,6.973923444747924805e-01
-9.444038391113281250e+01,6.962958574295043945e-01
-9.436869812011718750e+01,6.951968669891357422e-01
-9.429689025878906250e+01,6.940953135490417480e-01
-9.422496795654296875e+01,6.929912567138671875e-01
-9.415292358398437500e+01,6.918845772743225098e-01
-9.408075714111328125e+01,6.907753944396972656e-01
-9.400846099853515625e+01,6.896635890007019043e-01
-9.393603515625000000e+01,6.885492205619812012e-01
-9.386347961425781250e+01,6.874322295188903809e-01
-9.379079437255859375e+01,6.863126158714294434e-01
-9.371796417236328125e+01,6.851903796195983887e-01
-9.364498901367187500e+01,6.840654611587524414e-01
-9.357187652587890625e+01,6.829379796981811523e-01
-9.349919128417968750e+01,6.818166375160217285e-01
-9.343498229980468750e+01,6.808243989944458008e-01
-9.337068176269531250e+01,6.798281073570251465e-01
-9.330629730224609375e+01,6.788277626037597656e-01
-9.324182128906250000e+01,6.778234243392944336e-01
-9.317726135253906250e+01,6.768150925636291504e-01
-9.311260986328125000e+01,6.758027672767639160e-01
-9.304788208007812500e+01,6.747865676879882812e-01
-9.298306274414062500e+01,6.737664341926574707e-01
-9.291815948486328125e+01,6.727424263954162598e-01
-9.285317230224609375e+01,6.717145442962646484e-01
-9.278810119628906250e+01,6.706829071044921875e-01
-9.272295379638671875e+01,6.696473956108093262e-01
-9.265772247314453125e+01,6.686081886291503906e-01
-9.259240722656250000e+01,6.675652265548706055e-01
-9.252702331542968750e+01,6.665185093879699707e-01
-9.246154785156250000e+01,6.654681563377380371e-01
-9.239600372314453125e+01,6.644141077995300293e-01
-9.233037567138671875e+01,6.633564829826354980e-01
-9.226467132568359375e+01,6.622952222824096680e-01
-9.219889831542968750e+01,6.612304449081420898e-01
-9.213304138183593750e+01,6.601620316505432129e-01
-9.206710815429687500e+01,6.590901613235473633e-01
-9.200111389160156250e+01,6.580147743225097656e-01
-9.193503570556640625e+01,6.569359302520751953e-01
-9.186888885498046875e+01,6.558536887168884277e-01
-9.180267333984375000e+01,6.547679901123046875e-01
-9.173638153076171875e+01,6.536789536476135254e-01
-9.167002105712890625e+01,6.525865197181701660e-01
-9.160359191894531250e+01,6.514907479286193848e-01
-9.153709411621093750e+01,6.503917574882507324e-01
-9.147052001953125000e+01,6.492894291877746582e-01
-9.140389251708984375e+01,6.481838822364807129e-01
-9.133718872070312500e+01,6.470751166343688965e-01
-9.127042388916015625e+01,6.459631323814392090e-01
-9.120359802246093750e+01,6.448480486869812012e-01
-9.113670349121093750e+01,6.437298059463500977e-01
-9.106974029541015625e+01,6.426084637641906738e-01
-9.100271606445312500e+01,6.414840221405029297e-01
-9.093563842773437500e+01,6.403565406799316406e-01
-9.086849212646484375e+01,6.392260193824768066e-01
-9.080128479003906250e+01,6.380925178527832031e-01
-9.073402404785156250e+01,6.369560956954956055e-01
-9.066669464111328125e+01,6.358166933059692383e-01
-9.059931182861328125e+01,6.346743702888488770e-01
-9.053187561035156250e+01,6.335291266441345215e-01
-9.046437072753906250e+01,6.323810815811157227e-01
-9.039682006835937500e+01,6.312302350997924805e-01
-9.032920837402343750e+01,6.300765275955200195e-01
-9.026155090332031250e+01,6.289200782775878906e-01
-9.019383239746093750e+01,6.277608275413513184e-01
-9.012605285644531250e+01,6.265988945960998535e-01
-9.005823516845703125e+01,6.254342794418334961e-01
-8.999035644531250000e+01,6.242669820785522461e-01
-8.992242431640625000e+01,6.230970621109008789e-01
-8.985444641113281250e+01,6.219245195388793945e-01
-8.978642272949218750e+01,6.207494139671325684e-01
-8.971834564208984375e+01,6.195717453956604004e-01
-8.965022277832031250e+01,6.183915138244628906e-01
-8.958204650878906250e+01,6.172088384628295898e-01
-8.951383209228515625e+01,6.160236597061157227e-01
-8.944556427001953125e+01,6.148360371589660645e-01
-8.937725830078125000e+01,6.136460304260253906e-01
-8.930889892578125000e+01,6.124535799026489258e-01
-8.924050140380859375e+01,6.112588047981262207e-01
-8.917205810546875000e+01,6.100617051124572754e-01
-8.910357666015625000e+01,6.088622808456420898e-01
-8.903504943847656250e+01,6.076605319976806641e-01
-8.896648406982421875e+01,6.064565777778625488e-01
-8.889787292480468750e+01,6.052504181861877441e-01
-8.882923126220703125e+01,6.040420532226562500e-01
-8.876054382324218750e+01,6.028314828872680664e-01
-8.869182586669921875e+01,6.016187667846679688e-01
-8.862306213378906250e+01,6.004039645195007324e-01
-8.855426788330078125e+01,5.991870760917663574e-01
-8.848543548583984375e+01,5.979681611061096191e-01
-8.841656494140625000e+01,5.967471599578857422e-01
-8.834766387939453125e+01,5.955241918563842773e-01
-8.827873229980468750e+01,5.942991971969604492e-01
-8.820976257324218750e+01,5.930722951889038086e-01
-8.814076232910156250e+01,5.918434858322143555e-01
-8.807173156738281250e+01,5.906127095222473145e-01
-8.800266265869140625e+01,5.893801450729370117e-01
-8.793357086181640625e+01,5.881456732749938965e-01
-8.786444854736328125e+01,5.869094729423522949e-01
-8.779530334472656250e+01,5.856714248657226562e-01
-8.772611999511718750e+01,5.844316482543945312e-01
-8.765691375732421875e+01,5.831901431083679199e-01
-8.758768463134765625e+01,5.819469094276428223e-01
-8.751843261718750000e+01,5.807020068168640137e-01
-8.744914245605468750e+01,5.794554948806762695e-01
-8.737983703613281250e+01,5.782073140144348145e-01
-8.731050872802734375e+01,5.769575834274291992e-01
-8.724115753173828125e+01,5.757062435150146484e-01
-8.717178344726562500e+01,5.744534134864807129e-01
-8.710238647460937500e+01,5.731990337371826172e-01
-8.703297424316406250e+01,5.719432234764099121e-01
-8.696353912353515625e+01,5.706859230995178223e-01
-8.689408874511718750e+01,5.694271922111511230e-01
-8.682461547851562500e+01,5.681670904159545898e-01
-8.675511932373046875e+01,5.669055581092834473e-01
-8.668560791015625000e+01,5.656427145004272461e-01
-8.661608886718750000e+01,5.643785595893859863e-01
-8.654655456542968750e+01,5.631131529808044434e-01
-8.647699737548828125e+01,5.618464350700378418e-01
-8.640743255615234375e+01,5.605785250663757324e-01
-8.633785247802734375e+01,5.593093633651733398e-01
-8.626826477050781250e+01,5.580390691757202148e-01
-8.619865417480468750e+01,5.567675828933715820e-01
-8.612904357910156250e+01,5.554949641227722168e-01
-8.605941772460937500e+01,5.542212724685668945e-01
-8.598977661132812500e+01,5.529465675354003906e-01
-8.592013549804687500e+01,5.516707301139831543e-01
-8.585048675537109375e+01,5.503939390182495117e-01
-8.578082275390625000e+01,5.491161346435546875e-01
-8.571116638183593750e+01,5.478373765945434570e-01
-8.564149475097656250e+01,5.465576648712158203e-01
-8.557180786132812500e+01,5.452770590782165527e-01
-8.550213623046875000e+01,5.439956188201904297e-01
-8.543244934082031250e+01,5.427132844924926758e-01
-8.536276245117187500e+01,5.414301753044128418e-01
-8.529307556152343750e+01,5.401462316513061523e-01
-8.522338104248046875e+01,5.388615131378173828e-01
-8.515368652343750000e+01,5.375760793685913086e-01
-8.508399963378906250e+01,5.362899303436279297e-01
-8.501430511474609375e+01,5.350031256675720215e-01
-8.494461822509765625e+01,5.337156653404235840e-01
-8.487492370605468750e+01,5.324275493621826172e-01
-8.480524444580078125e+01,5.311388373374938965e-01
-8.473556518554687500e+01,5.298495292663574219e-01
-8.466588592529296875e+01,5.285596847534179688e-01
-8.459622192382812500e+01,5.272693634033203125e-01
-8.452655029296875000e+01,5.259785056114196777e-01
-8.445689392089843750e+01,5.246871709823608398e-01
-8.438723754882812500e+01,5.233954191207885742e-01
-8.431759643554687500e+01,5.221033096313476562e-01
-8.424796295166015625e+01,5.208107829093933105e-01
-8.417833709716796875e+01,5.195178985595703125e-01
-8.410871887207031250e+01,5.182246565818786621e-01
-8.403912353515625000e+01,5.169311761856079102e-01
-8.396952819824218750e+01,5.156373977661132812e-01
-8.389994812011718750e+01,5.143433809280395508e-01
-8.383038330078125000e+01,5.130491256713867188e-01
-8.376082611083984375e+01,5.117546916007995605e-01
-8.369128417968750000e+01,5.104601383209228516e-01
-8.362176513671875000e+01,5.091654062271118164e-01
-8.355226135253906250e+01,5.078705549240112305e-01
-8.348277282714843750e+01,5.065757036209106445e-01
-8.341329956054687500e+01,5.052807331085205078e-01
-8.334384155273437500e+01,5.039857625961303711e-01
-8.327440643310546875e+01,5.026907920837402344e-01
-8.320499420166015625e+01,5.013958215713500977e-01
-8.313559722900390625e+01,5.001009702682495117e-01
-8.306622314453125000e+01,4.988061785697937012e-01
-8.299687194824218750e+01,4.975115060806274414e-01
-8.292754364013671875e+01,4.962169826030731201e-01
-8.285823822021484375e+01,4.949226081371307373e-01
-8.278895568847656250e+01,4.936284422874450684e-01
-8.271969604492187500e+01,4.923344850540161133e-01
-8.265046691894531250e+01,4.910407960414886475e-01
-8.258126068115234375e+01,4.897474050521850586e-01
-8.251208496093750000e+01,4.884542822837829590e-01
-8.244293212890625000e+01,4.871615171432495117e-01
-8.237380981445312500e+01,4.858691096305847168e-01
-8.230471801757812500e+01,4.845771193504333496e-01
-8.223565673828125000e+01,4.832855165004730225e-01
-8.216662597656250000e+01,4.819943606853485107e-01
-8.209762573242187500e+01,4.807036817073822021e-01
-8.202865600585937500e+01,4.794135093688964844e-01
-8.195972442626953125e+01,4.781238436698913574e-01
-8.189082336425781250e+01,4.768347442150115967e-01
-8.182195281982421875e+01,4.755462408065795898e-01
-8.175312042236328125e+01,4.742583334445953369e-01
-8.168432617187500000e+01,4.729710519313812256e-01
-8.161557006835937500e+01,4.716844558715820312e-01
-8.154684448242187500e+01,4.703985452651977539e-01
-8.147815704345703125e+01,4.691133499145507812e-01
-8.140951538085937500e+01,4.678288996219635010e-01
-8.134091186523437500e+01,4.665452539920806885e-01
-8.127233886718750000e+01,4.652623832225799561e-01
-8.120381164550781250e+01,4.639803469181060791e-01
-8.113533020019531250e+01,4.626991748809814453e-01
-8.106689453125000000e+01,4.614188671112060547e-01
